city_code,district_code,district_name,zone_code,provinsi_code,city_name,tlc_branch_code,provinsi_name
JK00,JK00,JAKARTA,ZBJK0701,JK,JAKARTA,CGK,DKI JAKARTA
JK07,JK07,JAKARTA BARAT,ZBJK0701,JK,JAKARTA BARAT,JKB,DKI JAKARTA
JK07,JK0701,CENGKARENG,ZCJK0701,JK,JAKARTA BARAT,JKB,DKI JAKARTA
JK07,JK0702,GROGOL PETAMBURAN,ZCJK0701,JK,JAKARTA BARAT,JKB,DKI JAKARTA
JK07,JK0703,KALIDERES,ZCJK0701,JK,JAKARTA BARAT,JKB,DKI JAKARTA
JK07,JK0704,KEBON JERUK,ZCJK0701,JK,JAKARTA BARAT,JKB,DKI JAKARTA
JK07,JK0705,KEMBANGAN,ZCJK0701,JK,JAKARTA BARAT,JKB,DKI JAKARTA
JK07,JK0706,PALMERAH,ZCJK0701,JK,JAKARTA BARAT,JKB,DKI JAKARTA
JK07,JK1101,TAMBORA (JAKARTA BARAT),ZCJK0701,JK,JAKARTA BARAT,JKB,DKI JAKARTA
JK07,JK1102,TAMAN SARI (JAKARTA BARAT),ZCJK0701,JK,JAKARTA BARAT,JKB,DKI JAKARTA
JK12,JK12,KEPULAUAN SERIBU,ZBJK1201,JK,KEPULAUAN SERIBU,JKK,DKI JAKARTA
JK12,JK1201,KEPULAUAN SERIBU SELATAN,ZN01,JK,KEPULAUAN SERIBU,JKK,DKI JAKARTA
JK12,JK1212,KEPULAUAN SERIBU UTARA,ZN01,JK,KEPULAUAN SERIBU,JKK,DKI JAKARTA
JK08,JK08,JAKARTA PUSAT,ZBJK0801,JK,JAKARTA PUSAT,JKP,DKI JAKARTA
JK08,JK0801,CEMPAKA PUTIH,ZCJK0801,JK,JAKARTA PUSAT,JKP,DKI JAKARTA
JK08,JK0802,GAMBIR,ZCJK0801,JK,JAKARTA PUSAT,JKP,DKI JAKARTA
JK08,JK0803,JOHAR BARU,ZCJK0801,JK,JAKARTA PUSAT,JKP,DKI JAKARTA
JK08,JK0804,KEMAYORAN,ZCJK0801,JK,JAKARTA PUSAT,JKP,DKI JAKARTA
JK08,JK0805,MENTENG,ZCJK0801,JK,JAKARTA PUSAT,JKP,DKI JAKARTA
JK08,JK0806,SAWAH BESAR,ZCJK0801,JK,JAKARTA PUSAT,JKP,DKI JAKARTA
JK08,JK0807,SENEN,ZCJK0801,JK,JAKARTA PUSAT,JKP,DKI JAKARTA
JK08,JK0808,TANAH ABANG (JAKARTA PUSAT),ZCJK0801,JK,JAKARTA PUSAT,JKP,DKI JAKARTA
JK09,JK09,JAKARTA SELATAN,ZBJK0901,JK,JAKARTA SELATAN,JSA,DKI JAKARTA
JK09,JK0902,JAGAKARSA,ZCJK0901,JK,JAKARTA SELATAN,JSA,DKI JAKARTA
JK09,JK0905,MAMPANG PRAPATAN,ZCJK0901,JK,JAKARTA SELATAN,JSA,DKI JAKARTA
JK09,JK0906,PANCORAN,ZCJK0901,JK,JAKARTA SELATAN,JSA,DKI JAKARTA
JK09,JK0907,PASAR MINGGU,ZCJK0901,JK,JAKARTA SELATAN,JSA,DKI JAKARTA
JK09,JK0909,SETIA BUDI,ZCJK0901,JK,JAKARTA SELATAN,JSA,DKI JAKARTA
JK09,JK0910,TEBET,ZCJK0901,JK,JAKARTA SELATAN,JSA,DKI JAKARTA
JK10,JK10,JAKARTA TIMUR,ZBJK1001,JK,JAKARTA TIMUR,JKT,DKI JAKARTA
JK10,JK1001,CAKUNG,ZCJK1001,JK,JAKARTA TIMUR,JKT,DKI JAKARTA
JK10,JK1002,CIPAYUNG,ZCJK1001,JK,JAKARTA TIMUR,JKT,DKI JAKARTA
JK10,JK1003,CIRACAS,ZCJK1001,JK,JAKARTA TIMUR,JKT,DKI JAKARTA
JK10,JK1004,DUREN SAWIT,ZCJK1001,JK,JAKARTA TIMUR,JKT,DKI JAKARTA
JK10,JK1005,JATINEGARA (JAKARTA TIMUR),ZCJK1001,JK,JAKARTA TIMUR,JKT,DKI JAKARTA
JK10,JK1006,KRAMAT JATI,ZCJK1001,JK,JAKARTA TIMUR,JKT,DKI JAKARTA
JK10,JK1007,MAKASAR,ZCJK1001,JK,JAKARTA TIMUR,JKT,DKI JAKARTA
JK10,JK1008,MATRAMAN,ZCJK1001,JK,JAKARTA TIMUR,JKT,DKI JAKARTA
JK10,JK1009,PASAR REBO,ZCJK1001,JK,JAKARTA TIMUR,JKT,DKI JAKARTA
JK10,JK1010,PULO GADUNG,ZCJK1001,JK,JAKARTA TIMUR,JKT,DKI JAKARTA
JK11,JK11,JAKARTA UTARA,ZBJK1101,JK,JAKARTA UTARA,JKU,DKI JAKARTA
JK11,JK1103,CILINCING,ZCJK1101,JK,JAKARTA UTARA,JKU,DKI JAKARTA
JK11,JK1104,KELAPA GADING,ZCJK1101,JK,JAKARTA UTARA,JKU,DKI JAKARTA
JK11,JK1105,KOJA,ZCJK1101,JK,JAKARTA UTARA,JKU,DKI JAKARTA
JK11,JK1106,PADEMANGAN,ZCJK1101,JK,JAKARTA UTARA,JKU,DKI JAKARTA
JK11,JK1107,PENJARINGAN,ZCJK1101,JK,JAKARTA UTARA,JKU,DKI JAKARTA
JK11,JK1108,TANJUNG PRIOK,ZCJK1101,JK,JAKARTA UTARA,JKU,DKI JAKARTA
JK13,JK13,PROTOKOL (PROTOKOL),ZBJK0701,JK,PROTOKOL,PRT,DKI JAKARTA
JK13,JK1301,GATOT SUBROTO,ZBJK0801,JK,PROTOKOL,PRT,DKI JAKARTA
JK13,JK1302,RASUNA SAID,ZBJK0801,JK,PROTOKOL,PRT,DKI JAKARTA
JK13,JK1303,SUDIRMAN,ZBJK0801,JK,PROTOKOL,PRT,DKI JAKARTA
JK13,JK1304,MT HARYONO,ZBJK0801,JK,PROTOKOL,PRT,DKI JAKARTA
JK13,JK1305,MH THAMRIN,ZBJK0801,JK,PROTOKOL,PRT,DKI JAKARTA
PRT,PRT,PROTOKOL (PROTOKOL),ZBJK0701,JK,PROTOKOL,PRT,DKI JAKARTA
DEV,DEV,DEVELOPMENT,ZAJK0001,JK,DEVELOPMENT,DEV,DKI JAKARTA
JK000,JK000,JAKARTA,ZBJK0001,JK,HALIM PERDANA KUSUMA,CGK,DKI JAKARTA
JK14,JK0901,CILANDAK,ZCJK0901,JK,JAKARTA SELATAN,JSB,DKI JAKARTA
JK14,JK0903,KEBAYORAN BARU,ZCJK0901,JK,JAKARTA SELATAN,JSB,DKI JAKARTA
JK14,JK0904,KEBAYORAN LAMA,ZCJK0901,JK,JAKARTA SELATAN,JSB,DKI JAKARTA
JK14,JK0908,PESANGGRAHAN,ZCJK0901,JK,JAKARTA SELATAN,JSB,DKI JAKARTA
JK14,JK14,CILANDAK,ZCJK0901,JK,JAKARTA SELATAN,JSB,DKI JAKARTA
BT01,BT01,CILEGON (CILEGON),ZBBT0101,BT,CILEGON,CLN,BANTEN
BT01,BT0101,CIBEBER (CILEGON),ZDBT0101,BT,CILEGON,CLN,BANTEN
BT01,BT0102,CILEGON (CILEGON),ZBBT0101,BT,CILEGON,CLN,BANTEN
BT01,BT0103,CITANGKIL,ZDBT0101,BT,CILEGON,CLN,BANTEN
BT01,BT0104,CIWANDAN,ZDBT0101,BT,CILEGON,CLN,BANTEN
BT01,BT0105,GEROGOL,ZDBT0101,BT,CILEGON,CLN,BANTEN
BT01,BT0106,JOMBANG (CILEGON),ZDBT0101,BT,CILEGON,CLN,BANTEN
BT01,BT0107,PULOMERAK,ZDBT0101,BT,CILEGON,CLN,BANTEN
BT01,BT0108,PURWAKARTA (CILEGON),ZDBT0101,BT,CILEGON,CLN,BANTEN
BT01,BT0109,MERAK,ZDBT0101,BT,CILEGON,CLN,BANTEN
BT02,BT02,LEBAK,ZBBT0201,BT,LEBAK,PDL,BANTEN
BT02,BT0201,BANJARSARI (LEBAK),ZDBT0201,BT,LEBAK,PDL,BANTEN
BT02,BT0202,BAYAH,ZDBT0201,BT,LEBAK,PDL,BANTEN
BT02,BT0203,BOJONGMANIK,ZDBT0201,BT,LEBAK,PDL,BANTEN
BT02,BT0204,CIBADAK (LEBAK),ZDBT0201,BT,LEBAK,PDL,BANTEN
BT02,BT0205,CIGEMBLONG,ZDBT0201,BT,LEBAK,PDL,BANTEN
BT02,BT0206,CIHARA,ZDBT0201,BT,LEBAK,PDL,BANTEN
BT02,BT0207,CIJAKU,ZDBT0201,BT,LEBAK,PDL,BANTEN
BT02,BT0208,CIKULUR,ZDBT0201,BT,LEBAK,PDL,BANTEN
BT02,BT0209,CILELES,ZDBT0201,BT,LEBAK,PDL,BANTEN
BT02,BT0210,CILOGRANG,ZDBT0201,BT,LEBAK,PDL,BANTEN
BT02,BT0211,CIMARGA,ZDBT0201,BT,LEBAK,PDL,BANTEN
BT02,BT0212,CIPANAS (LEBAK),ZDBT0201,BT,LEBAK,PDL,BANTEN
BT02,BT0213,CIRINTEN,ZDBT0201,BT,LEBAK,PDL,BANTEN
BT02,BT0214,CURUGBITUNG,ZDBT0201,BT,LEBAK,PDL,BANTEN
BT02,BT0215,GUNUNG KENCANA,ZDBT0201,BT,LEBAK,PDL,BANTEN
BT02,BT0216,KALANGANYAR,ZDBT0201,BT,LEBAK,PDL,BANTEN
BT02,BT0217,LEBAKGEDONG,ZDBT0201,BT,LEBAK,PDL,BANTEN
BT02,BT0218,LEUWIDAMAR,ZDBT0201,BT,LEBAK,PDL,BANTEN
BT02,BT0219,MAJA (LEBAK),ZDBT0201,BT,LEBAK,PDL,BANTEN
BT02,BT0220,MALINGPING,ZDBT0201,BT,LEBAK,PDL,BANTEN
BT02,BT0221,MUNCANG,ZDBT0201,BT,LEBAK,PDL,BANTEN
BT02,BT0222,PANGGARANGAN,ZDBT0201,BT,LEBAK,PDL,BANTEN
BT02,BT0223,RANGKASBITUNG,ZCBT0201,BT,LEBAK,PDL,BANTEN
BT02,BT0224,SAJIRA,ZDBT0201,BT,LEBAK,PDL,BANTEN
BT02,BT0225,WANASALAM,ZDBT0201,BT,LEBAK,PDL,BANTEN
BT02,BT0226,WARUNGGUNUNG,ZDBT0201,BT,LEBAK,PDL,BANTEN
BT02,BT0227,CIBEBER (LEBAK),ZDBT0201,BT,LEBAK,PDL,BANTEN
BT02,BT0228,SOBANG (LEBAK),ZDBT0201,BT,LEBAK,PDL,BANTEN
BT03,BT03,PANDEGLANG (PANDEGLANG),ZBBT0301,BT,PANDEGLANG,PDL,BANTEN
BT03,BT0301,ANGSANA (PANDEGLANG),ZDBT0301,BT,PANDEGLANG,PDL,BANTEN
BT03,BT0302,BANJAR (PANDEGLANG),ZDBT0301,BT,PANDEGLANG,PDL,BANTEN
BT03,BT0303,BOJONG (PANDEGLANG),ZDBT0301,BT,PANDEGLANG,PDL,BANTEN
BT03,BT0304,CADASARI,ZDBT0301,BT,PANDEGLANG,PDL,BANTEN
BT03,BT0305,CARITA,ZDBT0301,BT,PANDEGLANG,PDL,BANTEN
BT03,BT0306,CIBALIUNG,ZDBT0301,BT,PANDEGLANG,PDL,BANTEN
BT03,BT0307,CIBITUNG (PANDEGLANG),ZDBT0301,BT,PANDEGLANG,PDL,BANTEN
BT03,BT0308,CIGEULIS,ZDBT0301,BT,PANDEGLANG,PDL,BANTEN
BT03,BT0309,CIKEUDAL (CIKEDAL),ZDBT0301,BT,PANDEGLANG,PDL,BANTEN
BT03,BT0310,CIKEUSIK,ZDBT0301,BT,PANDEGLANG,PDL,BANTEN
BT03,BT0311,CIMANGGU (PANDEGLANG),ZDBT0301,BT,PANDEGLANG,PDL,BANTEN
BT03,BT0312,CIMANUK,ZDBT0301,BT,PANDEGLANG,PDL,BANTEN
BT03,BT0313,CIPEUCANG,ZDBT0301,BT,PANDEGLANG,PDL,BANTEN
BT03,BT0314,CISATA,ZDBT0301,BT,PANDEGLANG,PDL,BANTEN
BT03,BT0315,JIPUT,ZDBT0301,BT,PANDEGLANG,PDL,BANTEN
BT03,BT0316,KADUHEJO,ZDBT0301,BT,PANDEGLANG,PDL,BANTEN
BT03,BT0317,KARANG TANJUNG,ZDBT0301,BT,PANDEGLANG,PDL,BANTEN
BT03,BT0318,KRONCONG,ZDBT0301,BT,PANDEGLANG,PDL,BANTEN
BT03,BT0319,LABUAN (PANDEGLANG),ZDBT0301,BT,PANDEGLANG,PDL,BANTEN
BT03,BT0320,MAJASARI,ZDBT0301,BT,PANDEGLANG,PDL,BANTEN
BT03,BT0321,MANDALAWANGI,ZDBT0301,BT,PANDEGLANG,PDL,BANTEN
BT03,BT0322,MEKARJAYA,ZDBT0301,BT,PANDEGLANG,PDL,BANTEN
BT03,BT0323,MENES,ZDBT0301,BT,PANDEGLANG,PDL,BANTEN
BT03,BT0324,MUNJUL,ZDBT0301,BT,PANDEGLANG,PDL,BANTEN
BT03,BT0325,PAGELARAN (PANDEGLANG),ZDBT0301,BT,PANDEGLANG,PDL,BANTEN
BT03,BT0326,PANDEGLANG (PANDEGLANG),ZBBT0301,BT,PANDEGLANG,PDL,BANTEN
BT03,BT0327,PANIMBANG,ZDBT0301,BT,PANDEGLANG,PDL,BANTEN
BT03,BT0328,PATIA,ZDBT0301,BT,PANDEGLANG,PDL,BANTEN
BT03,BT0329,PICUNG,ZDBT0301,BT,PANDEGLANG,PDL,BANTEN
BT03,BT0330,PULOSARI (PANDEGLANG),ZDBT0301,BT,PANDEGLANG,PDL,BANTEN
BT03,BT0331,SAKETI,ZDBT0301,BT,PANDEGLANG,PDL,BANTEN
BT03,BT0332,SINDANGRESMI,ZDBT0301,BT,PANDEGLANG,PDL,BANTEN
BT03,BT0333,SOBANG (PANDEGLANG),ZDBT0301,BT,PANDEGLANG,PDL,BANTEN
BT03,BT0334,SUKARESMI (PANDEGLANG),ZDBT0301,BT,PANDEGLANG,PDL,BANTEN
BT03,BT0335,SUMUR,ZDBT0301,BT,PANDEGLANG,PDL,BANTEN
