code,zipcode,destcode
INDOJK_JK07_JK0701,11730,CGK10108
INDOJK_JK07_JK0702,11440,CGK10101
INDOJK_JK07_JK0703,11840,CGK10102
INDOJK_JK07_JK0704,11510,CGK10103
INDOJK_JK07_JK0705,11640,CGK10104
INDOJK_JK07_JK0706,11430,CGK10105
INDOJK_JK07_JK1101,11330,CGK10107
INDOJK_JK07_JK1102,11120,CGK10106
INDOJK_JK12_JK12,14520,CGK10601
INDOJK_JK12_JK1201,14520,CGK10601
INDOJK_JK12_JK1212,14540,CGK10602
INDOJK_JK08_JK08,10300,CGK10300
INDOJK_JK08_JK0801,10520,CGK10301
INDOJK_JK08_JK0802,10150,CGK10302
INDOJK_JK08_JK0803,10530,CGK10303
INDOJK_JK08_JK0804,10640,CGK10304
INDOJK_JK08_JK0805,10330,CGK10305
INDOJK_JK08_JK0806,10740,CGK10306
INDOJK_JK08_JK0807,10460,CGK10307
INDOJK_JK08_JK0808,10210,CGK10308
INDOJK_JK09_JK09,10200,CGK10200
INDOJK_JK09_JK0902,12640,CGK10201
INDOJK_JK09_JK0905,12730,CGK10204
INDOJK_JK09_JK0906,12770,CGK10205
INDOJK_JK09_JK0907,12560,CGK10206
INDOJK_JK09_JK0909,12980,CGK10208
INDOJK_JK09_JK0910,12840,CGK10209
INDOJK_JK10_JK10,10500,CGK10500
INDOJK_JK10_JK1001,13910,CGK10501
INDOJK_JK10_JK1002,13820,CGK10502
INDOJK_JK10_JK1003,13720,CGK10503
INDOJK_JK10_JK1004,13440,CGK10504
INDOJK_JK10_JK1005,13330,CGK10505
INDOJK_JK10_JK1006,13530,CGK10506
INDOJK_JK10_JK1007,13620,CGK10507
INDOJK_JK10_JK1008,13130,CGK10508
INDOJK_JK10_JK1009,13780,CGK10509
INDOJK_JK10_JK1010,13240,CGK10510
INDOJK_JK11_JK11,10400,CGK10400
INDOJK_JK11_JK1103,14120,CGK10406
INDOJK_JK11_JK1104,14240,CGK10401
INDOJK_JK11_JK1105,14210,CGK10402
INDOJK_JK11_JK1106,14430,CGK10403
INDOJK_JK11_JK1107,14470,CGK10404
