"type","location_code","identity","name"
"WARD","00001",1010101,"Phường Phúc Xá"
"WARD","00004",1010107,"Phường Trúc Bạch"
"WARD","00006",1010116,"Phường Vĩnh Phúc"
"WARD","00007",1010115,"Phường Cống Vị"
"WARD","00008",1010114,"Phường Liễu Giai"
"WARD","00010",1010103,"Phường Nguyễn Trung Trực"
"WARD","00013",1010105,"Phường Quán Thánh"
"WARD","00016",1010121,"Phường Ngọc Hà"
"WARD","00019",1010109,"Phường Điện Biên"
"WARD","00022",1010113,"Phường Đội Cấn"
"WARD","00025",1010117,"Phường Ngọc Khánh"
"WARD","00028",1010111,"Phường Kim Mã"
"WARD","00031",1010119,"Phường Giảng Võ"
"WARD","00034",1010123,"Phường Thành Công"
"WARD","00037",1010533,"Phường Phúc Tân"
"WARD","00040",1010517,"Phường Đồng Xuân"
"WARD","00043",1010521,"Phường Hàng Mã"
"WARD","00046",1010515,"Phường Hàng Buồm"
"WARD","00049",1010519,"Phường Hàng Đào"
"WARD","00052",1010523,"Phường Hàng Bồ"
"WARD","00055",1010525,"Phường Cửa Đông"
"WARD","00058",1010513,"Phường Lý Thái Tổ"
"WARD","00061",1010511,"Phường Hàng Bạc"
"WARD","00064",1010529,"Phường Hàng Gai"
"WARD","00070",1010531,"Phường Hàng Trống"
"WARD","00073",1010501,"Phường Cửa Nam"
"WARD","00076",1010527,"Phường Hàng Bông"
"WARD","00079",1010509,"Phường Tràng Tiền"
"WARD","00082",1010503,"Phường Trần Hưng Đạo"
"WARD","00085",1010507,"Phường Phan Chu Trinh"
"WARD","00088",1010505,"Phường Hàng Bài"
"WARD","00091",1010315,"Phường Phú Thượng"
"WARD","00094",1010309,"Phường Nhật Tân"
"WARD","00097",1010307,"Phường Tứ Liên"
"DISTRICT","001",10101,"Quận Ba Đình"
"WARD","00100",1010311,"Phường Quảng An"
"WARD","00103",1010313,"Phường Xuân La"
"WARD","00106",1010305,"Phường Yên Phụ"
"WARD","00109",1010301,"Phường Bưởi"
"WARD","00112",1010303,"Phường Thụy Khuê"
"WARD","00115",1011411,"Phường Thượng Thanh"
"WARD","00118",1011409,"Phường Ngọc Thụy"
"WARD","00121",1011415,"Phường Giang Biên"
"WARD","00124",1011405,"Phường Đức Giang"
"WARD","00127",1011407,"Phường Việt Hưng"
"WARD","00130",1011401,"Phường Gia Thụy"
"WARD","00133",1011403,"Phường Ngọc Lâm"
"WARD","00136",1011419,"Phường Phúc Lợi"
"WARD","00139",1011413,"Phường Bồ Đề"
"WARD","00142",1011423,"Phường Sài Đồng"
"WARD","00145",1011421,"Phường Long Biên"
"WARD","00148",1011425,"Phường Thạch Bàn"
"WARD","00151",1011417,"Phường Phúc Đồng"
"WARD","00154",1011427,"Phường Cự Khối"
"WARD","00157",1011301,"Phường Nghĩa Đô"
"WARD","00160",1011303,"Phường Nghĩa Tân"
"WARD","00163",1011307,"Phường Mai Dịch"
"WARD","00166",1011309,"Phường Dịch Vọng"
"WARD","00167",1011310,"Phường Dịch Vọng Hậu"
"WARD","00169",1011305,"Phường Quan Hoa"
"WARD","00172",1011311,"Phường Yên Hoà"
"WARD","00175",1011313,"Phường Trung Hoà"
"WARD","00178",1010903,"Phường Cát Linh"
"WARD","00181",1010901,"Phường Văn Miếu"
"WARD","00184",1010905,"Phường Quốc Tử Giám"
"WARD","00187",1010941,"Phường Láng Thượng"
"WARD","00190",1010911,"Phường Ô Chợ Dừa"
"WARD","00193",1010907,"Phường Văn Chương"
"WARD","00196",1010909,"Phường Hàng Bột"
"WARD","00199",1010939,"Phường Láng Hạ"
"DISTRICT","002",10105,"Quận Hoàn Kiếm"
"WARD","00202",1010921,"Phường Khâm Thiên"
"WARD","00205",1010919,"Phường Thổ Quan"
"WARD","00208",1010913,"Phường Nam Đồng"
"WARD","00211",1010923,"Phường Trung Phụng"
"WARD","00214",1010915,"Phường Quang Trung"
"WARD","00217",1010917,"Phường Trung Liệt"
"WARD","00220",1010925,"Phường Phương Liên"
"WARD","00223",1010935,"Phường Thịnh Quang"
"WARD","00226",1010931,"Phường Trung Tự"
"WARD","00229",1010927,"Phường Kim Liên"
"WARD","00232",1010929,"Phường Phương Mai"
"WARD","00235",1010937,"Phường Ngã Tư Sở"
"WARD","00238",1010933,"Phường Khương Thượng"
"WARD","00241",1010701,"Phường Nguyễn Du"
"WARD","00244",1010717,"Phường Bạch Đằng"
"WARD","00247",1010711,"Phường Phạm Đình Hổ"
"WARD","00250",1010705,"Phường Bùi Thị Xuân"
"WARD","00253",1010709,"Phường Ngô Thì Nhậm"
"WARD","00256",1010703,"Phường Lê Đại Hành"
"WARD","00259",1010713,"Phường Đồng Nhân"
"WARD","00262",1010707,"Phường Phố Huế"
"WARD","00265",1010715,"Phường Đống Mác"
"WARD","00268",1010719,"Phường Thanh Lương"
"WARD","00271",1010721,"Phường Thanh Nhàn"
"WARD","00274",1010723,"Phường Cầu Dền"
"WARD","00277",1010725,"Phường Bách Khoa"
"WARD","00280",1010739,"Phường Đồng Tâm"
"WARD","00283",1010733,"Phường Vĩnh Tuy"
"WARD","00286",1010727,"Phường Bạch Mai"
"WARD","00289",1010731,"Phường Quỳnh Mai"
"WARD","00292",1010729,"Phường Quỳnh Lôi"
"WARD","00295",1010735,"Phường Minh Khai"
"WARD","00298",1010737,"Phường Trương Định"
"DISTRICT","003",10103,"Quận Tây Hồ"
"WARD","00301",1010827,"Phường Thanh Trì"
"WARD","00304",1010817,"Phường Vĩnh Hưng"
"WARD","00307",1010813,"Phường Định Công"
